hash|author|date|comment
c1989500|Evan You|Fri Feb 8 16:44:50 2019 -0500|build: release 2.6.4
dfb9fb17|Evan You|Fri Feb 8 16:44:45 2019 -0500|build: build 2.6.4
b2a093fa|Evan You|Fri Feb 8 16:32:22 2019 -0500|chore: fix e2e test in phantomjs
9011b83d|Evan You|Fri Feb 8 16:11:41 2019 -0500|fix: avoid breaking avoriaz edge case
8a800867|Evan You|Fri Feb 8 14:45:45 2019 -0500|fix: new syntax slots without scope should also be exposed on functional slots()
099f3ba6|Evan You|Fri Feb 8 14:36:36 2019 -0500|perf: skip scoped slots normalization when possible
7a0dfd0b|Evan You|Fri Feb 8 14:35:37 2019 -0500|perf: cache result from functional ctx.slots() calls
0e8560d0|Evan You|Fri Feb 8 13:47:17 2019 -0500|fix: expose v-slot slots without scope on this.$slots
ca57920e|Evan You|Thu Feb 7 10:17:28 2019 -0500|fix: avoid logging same error twice when thrown by user in global handler
57bc80a5|Evan You|Thu Feb 7 10:03:13 2019 -0500|fix: empty scoped slot should return undefined
4015debe|JakeConnors376W|Wed Feb 6 16:52:06 2019 -0800|chore: make documentation clearer (#9450)
f9c83087|Evan You|Wed Feb 6 16:52:07 2019 -0500|build: release 2.6.3
6441eac4|Evan You|Wed Feb 6 16:52:03 2019 -0500|build: build 2.6.3
dae7e418|Evan You|Wed Feb 6 15:57:06 2019 -0500|fix: skip microtask fix if event is fired from different document
d5ade286|Evan You|Wed Feb 6 15:22:21 2019 -0500|revert: feat: expose all scoped slots on this.$slots
7bc88f30|Evan You|Wed Feb 6 15:04:24 2019 -0500|fix: skip microtask fix in Firefix <= 53
96a09aad|Evan You|Wed Feb 6 13:58:09 2019 -0500|fix(compiler): fix v-bind dynamic arguments on slot outlets
4d4d22a3|Evan You|Wed Feb 6 12:29:00 2019 -0500|fix: bail out scoped slot optimization when there are nested scopes
b6247fc9|Evan You|Wed Feb 6 12:28:10 2019 -0500|refactor: split resolve-scoped-slot into its own file
24b4640c|Evan You|Wed Feb 6 11:34:37 2019 -0500|fix: avoid exposing internal flags on $scopedSlots
54e6a121|Sebastian Krüger|Wed Feb 6 04:20:03 2019 +0100|fix(types): add Vue.version to types (#9431)
b9de23b1|Evan You|Tue Feb 5 22:16:55 2019 -0500|fix: async component should use render owner as force update context
2ef67f86|katashin|Wed Feb 6 00:34:16 2019 +0800|chore: fix typo in scheduler.js [ci skip] (#9425)
fdc5f036|vue-bot|Tue Feb 5 11:30:33 2019 -0500|[automated] Patreon sponsors update (#9424)
