hash|author|date|comment
401065fe5|Caleb Meredith|Tue May 28 06:25:22 2019 -0700|Adds test for #15732. (#15747)
287ef30bb|Dominic Gannaway|Tue May 28 12:46:07 2019 +0100|[Flare] Deeply prevent default on anchor elements (#15750)
a97b5c07b|Dominic Gannaway|Mon May 27 19:03:40 2019 +0100|[Flare] More fixes for getAbsoluteBoundingClientRect (#15746)
5fe97dbe1|Andrew Clark|Fri May 24 18:55:28 2019 -0700|Remove sizebot race condition (#15735)
393924879|Dan Abramov|Sat May 25 00:45:08 2019 +0400|[Fresh] Babel plugin now handles HOCs + add integration tests (#15724)
2b5879736|Andrew Clark|Thu May 23 15:33:56 2019 -0700|Typo in CircleCI config
8af1f8792|Sebastian Markbåge|Thu May 23 14:24:18 2019 -0700|Rename ReactFiberScheduler -> ReactFiberWorkLoop and extract throwException from Unwind (#15725)
399cd0d16|Andrew Clark|Thu May 23 14:09:08 2019 -0700|Set up cron job to run fuzz tester (#15718)
025b07b61|Dominic Gannaway|Thu May 23 13:51:14 2019 +0100|[Flare] Ensure getAbsoluteBoundingClientRect aligns with offsetParent (#15720)
61f62246c|James Ide|Thu May 23 00:23:54 2019 -0700|[react-native] Use path-based imports instead of Haste for the RN renderer (#15604)
b962adfc2|Dominic Gannaway|Thu May 23 01:29:07 2019 +0100|[Flare] event component displayName is now mandatory (#15717)
d66c8f2d9|Andrew Clark|Wed May 22 16:12:14 2019 -0700|Update sizebot to match name of CircleCI build job (#15714)
5c2124fc7|Dan Abramov|Wed May 22 23:11:09 2019 +0100|[Fresh] Initial Babel plugin implementation (#15711)
101901dc2|Andrew Clark|Wed May 22 13:50:43 2019 -0700|Remove redundant test run (#15713)
1c0bdb710|Andrew Clark|Wed May 22 13:33:33 2019 -0700|Always run yarn after restoring modules cache (#15712)
b9ebc37c5|Dominic Gannaway|Wed May 22 21:04:28 2019 +0100|Fix Flow (#15710)
a25a793fe|Dominic Gannaway|Wed May 22 19:59:00 2019 +0100|[Flare] update getEventCurrentTarget to use fiber tree (#15708)
b5dff62fa|Dominic Gannaway|Wed May 22 19:54:08 2019 +0100|[Flare] Account for fixed elements in getAbsoluteBoundingClientRect (#15707)
f3109ad8a|Andrew Clark|Wed May 22 11:14:14 2019 -0700|Parallelize CircleCI jobs using workflows (#15704)
f50f9ba5d|Maksim Markelov|Wed May 22 13:24:31 2019 +0300|Fix ReactFiberNewContext spelling (#15692)
e180f656f|Dominic Gannaway|Wed May 22 01:09:34 2019 +0100|Flare: change flushDiscreteUpdates invariant to warning (#15702)
7829d8cf9|Andrew Clark|Tue May 21 16:56:52 2019 -0700|Fix missing return pointer assignment (#15700)
