hash|author|date|comment
35acd44a0|Alex Rickabaugh|Tue Jun 25 13:11:51 2019 -0700|Revert "build(bazel): add build --incompatible_list_based_execution_strategy_selection=false flag (#31019)" (#31267)
8afc998ec|Alex Rickabaugh|Tue Jun 25 13:11:50 2019 -0700|Revert "build(bazel): update //packages/bazel/test/ngc-wrapped:ngc_test test (#31019)" (#31267)
26a85a82f|Alex Rickabaugh|Tue Jun 25 13:11:49 2019 -0700|Revert "build: fix build failures with worker mode cache and @types/events (#31019)" (#31267)
98685e6f8|Schlemmer|Tue Jun 25 09:11:28 2019 +0200|docs: change note about cli (#31216) PR Close #31216
61f235346|Schlemmer|Sun Jun 23 12:30:21 2019 +0200|docs: add note about cli commands (#31216) PR Close #31216
ef9cb6a03|Olivier Combe|Tue Jun 25 17:14:07 2019 +0200|perf(ivy): chain multiple `i18nExp` calls (#31258)
3846192bd|George Kalpakas|Sat Jun 22 01:07:23 2019 +0300|ci: add owners for zone.js to CODEOWNERS (#31203)
a1d436e6a|Kapunahele Wong|Fri Jun 21 16:37:14 2019 -0400|docs: fix formatting (#31120)
02d98ed82|Kapunahele Wong|Tue Jun 18 07:59:54 2019 -0400|docs: fix testing example (#31120)
e8d0265c1|Joey Perrott|Fri Jun 21 15:13:39 2019 -0700|ci: enable remote build caching for CI jobs (#31204)
00ecfc7f9|George Kalpakas|Tue Jun 25 12:16:59 2019 +0300|fix(docs-infra): separate vendor-specific CSS selectors (#31252)
6ff3970ec|George Kalpakas|Tue Jun 25 12:16:55 2019 +0300|style(docs-infra): clean up some styles (#31252)
1d5c44551|Paul Gschwendtner|Tue Jun 25 10:07:01 2019 +0200|build: use checked-in configuration from bazel-toolchains (#31251)
2aba48511|Andrew Kushnir|Tue Jun 18 17:23:51 2019 -0700|refactor(ivy): use FatalDiagnosticError to throw more descriptive errors while extracting queries information (#31123)
b11a2057c|Santosh Yadav|Mon Jun 24 16:38:04 2019 +0530|docs(core): change from CSS Event to DOM event (#31229) PR Close #31229
6ba42f1da|Greg Magolan|Fri Jun 21 21:52:00 2019 -0700|build: fix build failures with worker mode cache and @types/events (#31019)
708d0a2db|Greg Magolan|Thu Jun 20 12:50:54 2019 -0700|build(bazel): update //packages/bazel/test/ngc-wrapped:ngc_test test (#31019)
ab2733761|Greg Magolan|Thu Jun 20 00:05:19 2019 -0700|build(bazel): add build --incompatible_list_based_execution_strategy_selection=false flag (#31019)
72e4ff759|Greg Magolan|Wed Jun 19 15:17:37 2019 -0700|build(bazel): remove deprecated rules_nodejs NodeModuleInfo provider (#31019)
5bec68369|Greg Magolan|Wed Jun 19 04:17:11 2019 -0700|build: disable must-use-promises check in ts_library tsetse for tests as... (#31019)
cd617b15e|Greg Magolan|Thu Jun 20 17:12:01 2019 -0700|build(bazel): cleanup entry_point target (#31019)
a38433f36|Greg Magolan|Tue Jun 18 21:26:53 2019 -0700|build: update to rules_nodejs 0.32.2 (#31019)
28d3bfc41|Greg Magolan|Wed Jun 12 18:18:26 2019 -0700|build(bazel): update to bazel 0.27.0 and fix compat in @angular/bazel package (#31019)
f7e9659c4|Stefanie Fluin|Mon Jun 24 15:55:29 2019 -0700|fix(docs-infra): return full width highlight to sidenav (#31246)
16717fa12|Alan Agius|Mon Jun 24 16:43:26 2019 +0200|fix(bazel): exclude all angular schematics folders from metadata build (#31237)
74f4f5dfa|Ayaz Hafiz|Wed Jun 19 17:23:59 2019 -0700|feat(ivy): integrate indexing pipeline with NgtscProgram (#31151)
3fb73ac62|JoostK|Wed Jun 19 21:06:13 2019 +0200|fix(ivy): support equality operators in static interpreter (#31145)
a5dd4edab|Hoel IRIS|Wed Jun 19 18:56:40 2019 +0200|fix(service-worker): registration failed on Safari (#31140)
e83667ad7|Alan Agius|Mon Jun 24 17:06:09 2019 +0200|fix(bazel): remove unsupported Css pre-processors from ng new (#31234)
805fc8698|Alan Agius|Mon Jun 24 17:02:01 2019 +0200|fix(bazel): update ng new schema to match the current ng new schema of @schematics/angular (#31234)
23c017121|crisbeto|Mon Jun 24 20:24:32 2019 +0200|perf(ivy): chain multiple attribute instructions (#31152)
fcb03abc7|crisbeto|Mon Jun 24 18:43:34 2019 +0200|fix(ivy): injecting incorrect Renderer2 into child components (#31063)
6f5d910dd|George Kalpakas|Sat Jun 22 00:45:58 2019 +0300|ci: send failure notifications from `saucelabs_tests` to `dev-infra-ci-failures` (#31202)
d72f8c949|George Kalpakas|Sat Jun 22 00:45:19 2019 +0300|ci: make logic for failure notifications more re-usable (#31202)
29df3b0ee|George Kalpakas|Fri Jun 21 23:49:04 2019 +0300|ci: send `aio_monitoring` failure notifications to the `dev-infra-ci-failures` channel (#31202)
a4fc98cac|George Kalpakas|Sat Jun 22 01:17:34 2019 +0300|ci: add josephperrott to `dev-infra` owners (#31205)
131e2440f|Joey Perrott|Fri Jun 21 12:38:35 2019 -0700|build: Set up Build Event Service Configuration for RBE executed bazel (#31197)
65974154e|Stefanie Fluin|Tue Jun 18 13:36:02 2019 -0700|feat(docs-infra): change typography font sizes to be rem based (#31118)
7035f225a|Ayaz Hafiz|Thu Jun 20 18:42:44 2019 -0700|fix(compiler): fix Elements not making a new ParseSourceSpan (#31190)
9c06af2df|Umair Sarfraz|Fri Jun 21 21:23:07 2019 +0500|docs: update node minimum version (#31192)
83f0304cf|Kapunahele Wong|Tue Jun 18 17:03:19 2019 -0400|docs: clarify wording in Template Syntax (#31119)
a9502886b|Judy Bogart|Mon Jun 10 10:04:11 2019 -0700|docs: mark interfaces as public (#30955)
4bd6fca4e|JiaLiPassion|Fri Jun 21 12:29:33 2019 +0900|docs: fix typo of zone.js README.md (#31178)
bd3b0564e|Alex Rickabaugh|Tue Jun 11 15:59:41 2019 -0700|fix(ivy): sync ViewRefs between multiple ViewContainerRefs (#30985)
b1664425a|George Kalpakas|Fri Jun 21 10:16:17 2019 +0000|build(docs-infra): upgrade cli command docs sources to a7d4472eb (#31184)
ecd7f6ecd|Alan|Fri Jun 21 09:13:24 2019 +0200|docs: fix javascript module link (#31181)
6a381d924|Zovube|Fri Jun 21 01:39:39 2019 +0300|docs: fix typo in browser-support.md (ES1015 --> ES2015) (#31157)
1f1cf1a16|Oleg Pimenov|Thu Jun 13 14:14:45 2019 +0300|docs: add Mosaic library to resources (#31026)
48def92ca|Pete Bacon Darwin|Mon Jun 10 16:22:56 2019 +0100|fix(ivy): ensure that changes to component resources trigger incremental builds (#30954)
